Country,Site,Strategy,Age.Group,Vaccine.Effects,Value_50_50
Pakistan,Urban,aya,20-29 years,Overall,13
Pakistan,Urban,aya,30-39 years,Overall,1
Pakistan,Urban,aya,40-59 years,Overall,1
Pakistan,Urban,aya,60+ years,Overall,1
Pakistan,Urban,aya,<6 months,Direct,0
Pakistan,Urban,aya,6-11 months,Direct,0
Pakistan,Urban,aya,1-4 years,Direct,0
Pakistan,Urban,aya,5-9 years,Direct,0
Pakistan,Urban,aya,10-19 years,Direct,22
Pakistan,Urban,aya,20-29 years,Direct,24
Pakistan,Urban,aya,30-39 years,Direct,0
Pakistan,Urban,aya,40-59 years,Direct,0
Pakistan,Urban,aya,60+ years,Direct,0
Pakistan,Urban,aya,<6 months,Indirect,3
Pakistan,Urban,aya,6-11 months,Indirect,3
Pakistan,Urban,aya,1-4 years,Indirect,2
Pakistan,Urban,aya,5-9 years,Indirect,1
Pakistan,Urban,aya,10-19 years,Indirect,2
Pakistan,Urban,aya,20-29 years,Indirect,2
Pakistan,Urban,aya,30-39 years,Indirect,1
Pakistan,Urban,aya,40-59 years,Indirect,1
Pakistan,Urban,aya,60+ years,Indirect,1
